Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
El Salvador,0.550,0.568,0.594,0.307,0.787,0.714,0.261,0.994,1.075,0.484,0.277,0.641,0.859,0.972,0.827,0.766,0.728,0.610,0.456,1.043,0.486,0.748,0.774,0.756,0.650,1.372,1.136,0.651,0.781,1.139
Equatorial Guinea,0.165,0.248,-0.053,0.134,0.382,0.980,0.438,0.442,1.046,0.589,0.438,0.401,0.704,0.977,0.843,0.736,0.720,0.845,0.754,0.850,1.089,0.798,0.678,0.814,0.871,1.001,1.450,1.273,0.915,1.621
Eritrea,,,,0.286,-0.570,-0.104,0.270,0.407,0.639,0.878,0.619,0.767,0.988,0.980,1.112,1.087,0.801,0.622,1.212,1.788,1.800,1.680,1.481,1.265,1.024,1.800,1.593,1.570,1.045,0.930
Estonia,,,1.655,0.394,0.458,1.329,-0.202,1.044,0.617,1.668,2.243,1.202,1.421,0.929,1.224,1.345,1.791,2.079,2.497,1.283,0.258,2.091,0.814,1.823,2.228,2.685,1.713,1.596,2.229,2.530
Eswatini,0.349,0.517,1.335,0.711,-0.041,0.506,0.072,0.212,0.906,0.532,-0.202,0.492,0.540,0.713,0.503,0.854,0.565,0.823,0.611,0.453,1.073,0.749,0.741,0.305,0.600,1.285,1.564,0.400,1.167,1.221
Ethiopia,,,,0.237,0.592,0.907,0.736,0.752,0.728,0.408,0.649,0.788,1.162,1.034,0.941,1.069,1.019,0.851,0.793,1.439,1.265,1.145,1.140,1.141,1.140,1.529,1.541,1.456,0.958,1.336
Ethiopia PDR,0.700,0.432,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,1.184,0.567,0.611,0.625,0.686,1.902,0.492,1.034,0.308,0.755,1.099,0.942,1.326,1.469,0.993,1.660,0.872,2.247,1.963,0.965,0.832,1.889,1.433,1.576,1.649,2.237,2.028,2.161,1.832,2.284
European Union,1.303,0.338,0.867,0.284,1.156,0.856,-0.084,0.903,0.739,1.158,1.556,0.946,1.321,1.207,0.940,0.917,1.369,1.533,1.384,1.235,0.265,1.586,1.051,1.120,2.009,1.929,1.609,1.575,1.955,2.020
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
